Date,D0,D1,D2,Value
1988-10,A,U,N,
1988-10,A,U,R,
1988-10,A,P,WMF,340.674
1988-10,A,P,N,
1988-10,A,P,R,
1988-10,A,TBS1,WMF,415.077
1988-10,A,TBS1,N,
1988-10,A,TBS1,R,
1988-10,H,T,WMF,-723.156
1988-11,E,T,WMF,6964.589
1988-11,E,T,N,
1988-11,E,T,R,
1988-11,E,MAE,WMF,1623.021
1988-11,E,MAE,N,
1988-11,E,MAE,R,
1988-11,E,PUB,WMF,453.722
1988-11,E,PUB,N,
1988-11,E,PUB,R,
1988-11,E,C,WMF,839.75
1988-11,E,C,N,
1988-11,E,C,R,
1988-11,E,TBS0,WMF,586.918
1988-11,E,TBS0,N,
1988-11,E,TBS0,R,
1988-11,E,F,WMF,732.223
1988-11,E,F,N,
1988-11,E,F,R,
1988-11,A,T,WMF,6462.455
1988-11,A,T,N,
1988-11,A,T,R,
1988-11,A,MAE,WMF,2145.294
1988-11,A,MAE,N,
1988-11,A,MAE,R,
1988-11,A,C,WMF,1378.022
1988-11,A,C,N,
1988-11,A,C,R,
1988-11,A,M,WMF,578.192
1988-11,A,M,N,
1988-11,A,M,R,
1988-11,A,U,WMF,547.152
1988-11,A,U,N,
1988-11,A,U,R,
1988-11,A,P,WMF,370.905
1988-11,A,P,N,
1988-11,A,P,R,
1988-11,A,TBS1,WMF,414.379
1988-11,A,TBS1,N,
1988-11,A,TBS1,R,
1988-11,H,T,WMF,-502.134
1988-12,E,T,WMF,6890.758
1988-12,E,T,N,
1988-12,E,T,R,
1988-12,E,MAE,WMF,1682.132
1988-12,E,MAE,N,
1988-12,E,MAE,R,
1988-12,E,PUB,WMF,436.2
1988-12,E,PUB,N,
1988-12,E,PUB,R,
1988-12,E,C,WMF,819.776
1988-12,E,C,N,
1988-12,E,C,R,
1988-12,E,TBS0,WMF,582.73
1988-12,E,TBS0,N,
1988-12,E,TBS0,R,
1988-12,E,F,WMF,748.134
1988-12,E,F,N,
1988-12,E,F,R,
1988-12,A,T,WMF,6297.493
1988-12,A,T,N,
1988-12,A,T,R,
1988-12,A,MAE,WMF,2358.869
1988-12,A,MAE,N,
1988-12,A,MAE,R,
1988-12,A,C,WMF,1257.538
1988-12,A,C,N,
1988-12,A,C,R,
1988-12,A,M,WMF,541.601
1988-12,A,M,N,
1988-12,A,M,R,
1988-12,A,U,WMF,468.894
1988-12,A,U,N,
1988-12,A,U,R,
1988-12,A,P,WMF,373.341
1988-12,A,P,N,
1988-12,A,P,R,
1988-12,A,TBS1,WMF,377.106
1988-12,A,TBS1,N,
1988-12,A,TBS1,R,
1988-12,H,T,WMF,-593.265
1989-01,E,T,WMF,6391.632
1989-01,E,T,N,-0.6
1989-01,E,T,R,-5.5
1989-01,E,MAE,WMF,1302.984
1989-01,E,MAE,N,-7.8
1989-01,E,MAE,R,-10.7
1989-01,E,PUB,WMF,381.85
1989-01,E,PUB,N,-0.5
1989-01,E,PUB,R,-10.5
1989-01,E,C,WMF,823.139
1989-01,E,C,N,5.4
1989-01,E,C,R,-0.1
1989-01,E,TBS0,WMF,702.794
1989-01,E,TBS0,N,9.3
1989-01,E,TBS0,R,2.8
1989-01,E,F,WMF,750.394
1989-01,E,F,N,-2.7
1989-01,E,F,R,-5.5
1989-01,A,T,WMF,5524.44
1989-01,A,T,N,-3.1
1989-01,A,T,R,-7.7
1989-01,A,MAE,WMF,1600.178
1989-01,A,MAE,N,-13.2
1989-01,A,MAE,R,-15
1989-01,A,C,WMF,1578.826
1989-01,A,C,N,19.5
1989-01,A,C,R,8.1
1989-01,A,M,WMF,543.891
1989-01,A,M,N,1.3
1989-01,A,M,R,-2
1989-01,A,U,WMF,352.802
1989-01,A,U,N,-16.2
1989-01,A,U,R,-20.5
1989-01,A,P,WMF,300.233
1989-01,A,P,N,-9.1
1989-01,A,P,R,-15
1989-01,A,TBS1,WMF,377.14
1989-01,A,TBS1,N,2.6
1989-01,A,TBS1,R,-0.6
1989-01,H,T,WMF,-867.192
