,Date,D0,D1,Value
304,1914-06,M1,CNY100,
305,1914-06,M1,HKD100,
306,1914-06,M1,KRW100,
307,1914-06,M1,MYR100,
308,1914-06,M1,NZD1,
309,1914-06,M1,SGD100,
310,1914-06,M1,THB100,
311,1914-06,M1,XDR1,
312,1914-07,M0,EUR1,
313,1914-07,M0,GBP1,25.18
314,1914-07,M0,DKK100,
315,1914-07,M0,NOK100,
316,1914-07,M0,CZK100,
317,1914-07,M0,HUF100,
318,1914-07,M0,PLN100,
319,1914-07,M0,RUB100,
320,1914-07,M0,SEK100,
321,1914-07,M0,TRY100,
322,1914-07,M0,USD1,5.154
323,1914-07,M0,CAD1,
324,1914-07,M0,ARS100,
325,1914-07,M0,BRL100,
326,1914-07,M0,MXN100,
327,1914-07,M0,ZAR1,
328,1914-07,M0,JPY100,
329,1914-07,M0,AUD1,
330,1914-07,M0,CNY100,
331,1914-07,M0,HKD100,
332,1914-07,M0,KRW100,
333,1914-07,M0,MYR100,
334,1914-07,M0,NZD1,
335,1914-07,M0,SGD100,
336,1914-07,M0,THB100,
337,1914-07,M0,XDR1,
338,1914-07,M1,EUR1,
339,1914-07,M1,GBP1,
340,1914-07,M1,DKK100,
341,1914-07,M1,NOK100,
342,1914-07,M1,CZK100,
343,1914-07,M1,HUF100,
344,1914-07,M1,PLN100,
345,1914-07,M1,RUB100,
346,1914-07,M1,SEK100,
347,1914-07,M1,TRY100,
348,1914-07,M1,USD1,
349,1914-07,M1,CAD1,
350,1914-07,M1,ARS100,
351,1914-07,M1,BRL100,
352,1914-07,M1,MXN100,
353,1914-07,M1,ZAR1,
354,1914-07,M1,JPY100,
355,1914-07,M1,AUD1,
356,1914-07,M1,CNY100,
357,1914-07,M1,HKD100,
358,1914-07,M1,KRW100,
359,1914-07,M1,MYR100,
360,1914-07,M1,NZD1,
361,1914-07,M1,SGD100,
362,1914-07,M1,THB100,
363,1914-07,M1,XDR1,
364,1914-08,M0,EUR1,
365,1914-08,M0,GBP1,25.005
366,1914-08,M0,DKK100,
367,1914-08,M0,NOK100,
368,1914-08,M0,CZK100,
369,1914-08,M0,HUF100,
370,1914-08,M0,PLN100,
371,1914-08,M0,RUB100,
372,1914-08,M0,SEK100,
373,1914-08,M0,TRY100,
374,1914-08,M0,USD1,5.08
375,1914-08,M0,CAD1,
376,1914-08,M0,ARS100,
377,1914-08,M0,BRL100,
378,1914-08,M0,MXN100,
379,1914-08,M0,ZAR1,
380,1914-08,M0,JPY100,
381,1914-08,M0,AUD1,
382,1914-08,M0,CNY100,
383,1914-08,M0,HKD100,
384,1914-08,M0,KRW100,
385,1914-08,M0,MYR100,
386,1914-08,M0,NZD1,
387,1914-08,M0,SGD100,
388,1914-08,M0,THB100,
389,1914-08,M0,XDR1,
390,1914-08,M1,EUR1,
391,1914-08,M1,GBP1,
392,1914-08,M1,DKK100,
393,1914-08,M1,NOK100,
394,1914-08,M1,CZK100,
395,1914-08,M1,HUF100,
396,1914-08,M1,PLN100,
397,1914-08,M1,RUB100,
398,1914-08,M1,SEK100,
399,1914-08,M1,TRY100,
400,1914-08,M1,USD1,
401,1914-08,M1,CAD1,
402,1914-08,M1,ARS100,
403,1914-08,M1,BRL100,
404,1914-08,M1,MXN100,
405,1914-08,M1,ZAR1,
406,1914-08,M1,JPY100,
407,1914-08,M1,AUD1,
408,1914-08,M1,CNY100,
409,1914-08,M1,HKD100,
410,1914-08,M1,KRW100,
411,1914-08,M1,MYR100,
412,1914-08,M1,NZD1,
413,1914-08,M1,SGD100,
414,1914-08,M1,THB100,
415,1914-08,M1,XDR1,
416,1914-09,M0,EUR1,
417,1914-09,M0,GBP1,25.295
418,1914-09,M0,DKK100,
419,1914-09,M0,NOK100,
420,1914-09,M0,CZK100,
421,1914-09,M0,HUF100,
422,1914-09,M0,PLN100,
423,1914-09,M0,RUB100,
424,1914-09,M0,SEK100,
425,1914-09,M0,TRY100,
426,1914-09,M0,USD1,5.1
427,1914-09,M0,CAD1,
428,1914-09,M0,ARS100,
429,1914-09,M0,BRL100,
430,1914-09,M0,MXN100,
431,1914-09,M0,ZAR1,
432,1914-09,M0,JPY100,
433,1914-09,M0,AUD1,
434,1914-09,M0,CNY100,
435,1914-09,M0,HKD100,
436,1914-09,M0,KRW100,
437,1914-09,M0,MYR100,
438,1914-09,M0,NZD1,
439,1914-09,M0,SGD100,
440,1914-09,M0,THB100,
441,1914-09,M0,XDR1,
442,1914-09,M1,EUR1,
443,1914-09,M1,GBP1,
444,1914-09,M1,DKK100,
445,1914-09,M1,NOK100,
446,1914-09,M1,CZK100,
447,1914-09,M1,HUF100,
448,1914-09,M1,PLN100,
449,1914-09,M1,RUB100,
450,1914-09,M1,SEK100,
451,1914-09,M1,TRY100,
452,1914-09,M1,USD1,
453,1914-09,M1,CAD1,
454,1914-09,M1,ARS100,
455,1914-09,M1,BRL100,
456,1914-09,M1,MXN100,
457,1914-09,M1,ZAR1,
458,1914-09,M1,JPY100,
459,1914-09,M1,AUD1,
460,1914-09,M1,CNY100,
461,1914-09,M1,HKD100,
462,1914-09,M1,KRW100,
463,1914-09,M1,MYR100,
464,1914-09,M1,NZD1,
465,1914-09,M1,SGD100,
466,1914-09,M1,THB100,
467,1914-09,M1,XDR1,
468,1914-10,M0,EUR1,
469,1914-10,M0,GBP1,25.291999999999998
470,1914-10,M0,DKK100,
471,1914-10,M0,NOK100,
472,1914-10,M0,CZK100,
473,1914-10,M0,HUF100,
474,1914-10,M0,PLN100,
475,1914-10,M0,RUB100,
476,1914-10,M0,SEK100,
477,1914-10,M0,TRY100,
478,1914-10,M0,USD1,5.101
479,1914-10,M0,CAD1,
480,1914-10,M0,ARS100,
481,1914-10,M0,BRL100,
482,1914-10,M0,MXN100,
483,1914-10,M0,ZAR1,
484,1914-10,M0,JPY100,
485,1914-10,M0,AUD1,
486,1914-10,M0,CNY100,
487,1914-10,M0,HKD100,
488,1914-10,M0,KRW100,
489,1914-10,M0,MYR100,
490,1914-10,M0,NZD1,
491,1914-10,M0,SGD100,
492,1914-10,M0,THB100,
493,1914-10,M0,XDR1,
494,1914-10,M1,EUR1,
495,1914-10,M1,GBP1,
496,1914-10,M1,DKK100,
497,1914-10,M1,NOK100,
498,1914-10,M1,CZK100,
499,1914-10,M1,HUF100,
500,1914-10,M1,PLN100,
501,1914-10,M1,RUB100,
502,1914-10,M1,SEK100,
503,1914-10,M1,TRY100,
504,1914-10,M1,USD1,
505,1914-10,M1,CAD1,
506,1914-10,M1,ARS100,
507,1914-10,M1,BRL100,
508,1914-10,M1,MXN100,
509,1914-10,M1,ZAR1,
510,1914-10,M1,JPY100,
511,1914-10,M1,AUD1,
512,1914-10,M1,CNY100,
513,1914-10,M1,HKD100,
514,1914-10,M1,KRW100,
515,1914-10,M1,MYR100,
516,1914-10,M1,NZD1,
517,1914-10,M1,SGD100,
518,1914-10,M1,THB100,
519,1914-10,M1,XDR1,
520,1914-11,M0,EUR1,
521,1914-11,M0,GBP1,25.432
522,1914-11,M0,DKK100,
523,1914-11,M0,NOK100,
524,1914-11,M0,CZK100,
525,1914-11,M0,HUF100,
526,1914-11,M0,PLN100,
527,1914-11,M0,RUB100,
528,1914-11,M0,SEK100,
529,1914-11,M0,TRY100,
530,1914-11,M0,USD1,5.197
531,1914-11,M0,CAD1,
532,1914-11,M0,ARS100,
533,1914-11,M0,BRL100,
534,1914-11,M0,MXN100,
535,1914-11,M0,ZAR1,
536,1914-11,M0,JPY100,
537,1914-11,M0,AUD1,
538,1914-11,M0,CNY100,
539,1914-11,M0,HKD100,
540,1914-11,M0,KRW100,
541,1914-11,M0,MYR100,
542,1914-11,M0,NZD1,
543,1914-11,M0,SGD100,
544,1914-11,M0,THB100,
545,1914-11,M0,XDR1,
546,1914-11,M1,EUR1,
547,1914-11,M1,GBP1,
548,1914-11,M1,DKK100,
549,1914-11,M1,NOK100,
550,1914-11,M1,CZK100,
551,1914-11,M1,HUF100,
552,1914-11,M1,PLN100,
553,1914-11,M1,RUB100,
554,1914-11,M1,SEK100,
555,1914-11,M1,TRY100,
556,1914-11,M1,USD1,
557,1914-11,M1,CAD1,
558,1914-11,M1,ARS100,
559,1914-11,M1,BRL100,
560,1914-11,M1,MXN100,
561,1914-11,M1,ZAR1,
562,1914-11,M1,JPY100,
563,1914-11,M1,AUD1,
564,1914-11,M1,CNY100,
565,1914-11,M1,HKD100,
566,1914-11,M1,KRW100,
567,1914-11,M1,MYR100,
568,1914-11,M1,NZD1,
569,1914-11,M1,SGD100,
570,1914-11,M1,THB100,
571,1914-11,M1,XDR1,
572,1914-12,M0,EUR1,
573,1914-12,M0,GBP1,25.467
574,1914-12,M0,DKK100,
575,1914-12,M0,NOK100,
576,1914-12,M0,CZK100,
577,1914-12,M0,HUF100,
578,1914-12,M0,PLN100,
579,1914-12,M0,RUB100,
580,1914-12,M0,SEK100,
581,1914-12,M0,TRY100,
582,1914-12,M0,USD1,5.212999999999999
583,1914-12,M0,CAD1,
584,1914-12,M0,ARS100,
585,1914-12,M0,BRL100,
586,1914-12,M0,MXN100,
587,1914-12,M0,ZAR1,
588,1914-12,M0,JPY100,
589,1914-12,M0,AUD1,
590,1914-12,M0,CNY100,
591,1914-12,M0,HKD100,
592,1914-12,M0,KRW100,
593,1914-12,M0,MYR100,
594,1914-12,M0,NZD1,
595,1914-12,M0,SGD100,
596,1914-12,M0,THB100,
597,1914-12,M0,XDR1,
598,1914-12,M1,EUR1,
599,1914-12,M1,GBP1,
600,1914-12,M1,DKK100,
601,1914-12,M1,NOK100,
602,1914-12,M1,CZK100,
603,1914-12,M1,HUF100,
604,1914-12,M1,PLN100,
605,1914-12,M1,RUB100,
606,1914-12,M1,SEK100,
607,1914-12,M1,TRY100,
608,1914-12,M1,USD1,
609,1914-12,M1,CAD1,
610,1914-12,M1,ARS100,
611,1914-12,M1,BRL100,
612,1914-12,M1,MXN100,
613,1914-12,M1,ZAR1,
614,1914-12,M1,JPY100,
615,1914-12,M1,AUD1,
616,1914-12,M1,CNY100,
617,1914-12,M1,HKD100,
618,1914-12,M1,KRW100,
619,1914-12,M1,MYR100,
620,1914-12,M1,NZD1,
621,1914-12,M1,SGD100,
622,1914-12,M1,THB100,
623,1914-12,M1,XDR1,
624,1915-01,M0,EUR1,
625,1915-01,M0,GBP1,25.56
626,1915-01,M0,DKK100,
627,1915-01,M0,NOK100,
628,1915-01,M0,CZK100,
629,1915-01,M0,HUF100,
630,1915-01,M0,PLN100,
631,1915-01,M0,RUB100,
632,1915-01,M0,SEK100,
633,1915-01,M0,TRY100,
634,1915-01,M0,USD1,5.278
635,1915-01,M0,CAD1,
636,1915-01,M0,ARS100,
637,1915-01,M0,BRL100,
638,1915-01,M0,MXN100,
639,1915-01,M0,ZAR1,
640,1915-01,M0,JPY100,
641,1915-01,M0,AUD1,
642,1915-01,M0,CNY100,
643,1915-01,M0,HKD100,
644,1915-01,M0,KRW100,
645,1915-01,M0,MYR100,
646,1915-01,M0,NZD1,
647,1915-01,M0,SGD100,
648,1915-01,M0,THB100,
649,1915-01,M0,XDR1,
650,1915-01,M1,EUR1,
651,1915-01,M1,GBP1,
652,1915-01,M1,DKK100,
653,1915-01,M1,NOK100,
654,1915-01,M1,CZK100,
655,1915-01,M1,HUF100,
656,1915-01,M1,PLN100,
657,1915-01,M1,RUB100,
658,1915-01,M1,SEK100,
659,1915-01,M1,TRY100,
660,1915-01,M1,USD1,
661,1915-01,M1,CAD1,
662,1915-01,M1,ARS100,
663,1915-01,M1,BRL100,
664,1915-01,M1,MXN100,
665,1915-01,M1,ZAR1,
666,1915-01,M1,JPY100,
667,1915-01,M1,AUD1,
668,1915-01,M1,CNY100,
669,1915-01,M1,HKD100,
670,1915-01,M1,KRW100,
671,1915-01,M1,MYR100,
672,1915-01,M1,NZD1,
673,1915-01,M1,SGD100,
674,1915-01,M1,THB100,
675,1915-01,M1,XDR1,
676,1915-02,M0,EUR1,
677,1915-02,M0,GBP1,26.011999999999997
678,1915-02,M0,DKK100,
679,1915-02,M0,NOK100,
680,1915-02,M0,CZK100,
681,1915-02,M0,HUF100,
682,1915-02,M0,PLN100,
683,1915-02,M0,RUB100,
684,1915-02,M0,SEK100,
685,1915-02,M0,TRY100,
686,1915-02,M0,USD1,5.392
687,1915-02,M0,CAD1,
688,1915-02,M0,ARS100,
689,1915-02,M0,BRL100,
690,1915-02,M0,MXN100,
691,1915-02,M0,ZAR1,
692,1915-02,M0,JPY100,
693,1915-02,M0,AUD1,
694,1915-02,M0,CNY100,
695,1915-02,M0,HKD100,
696,1915-02,M0,KRW100,
697,1915-02,M0,MYR100,
698,1915-02,M0,NZD1,
699,1915-02,M0,SGD100,
700,1915-02,M0,THB100,
701,1915-02,M0,XDR1,
702,1915-02,M1,EUR1,
703,1915-02,M1,GBP1,
704,1915-02,M1,DKK100,
705,1915-02,M1,NOK100,
706,1915-02,M1,CZK100,
707,1915-02,M1,HUF100,
708,1915-02,M1,PLN100,
709,1915-02,M1,RUB100,
710,1915-02,M1,SEK100,
711,1915-02,M1,TRY100,
712,1915-02,M1,USD1,
713,1915-02,M1,CAD1,
714,1915-02,M1,ARS100,
715,1915-02,M1,BRL100,
716,1915-02,M1,MXN100,
717,1915-02,M1,ZAR1,
718,1915-02,M1,JPY100,
719,1915-02,M1,AUD1,
720,1915-02,M1,CNY100,
721,1915-02,M1,HKD100,
722,1915-02,M1,KRW100,
723,1915-02,M1,MYR100,
724,1915-02,M1,NZD1,
725,1915-02,M1,SGD100,
726,1915-02,M1,THB100,
727,1915-02,M1,XDR1,
728,1915-03,M0,EUR1,
729,1915-03,M0,GBP1,25.95
730,1915-03,M0,DKK100,
731,1915-03,M0,NOK100,
732,1915-03,M0,CZK100,
733,1915-03,M0,HUF100,
734,1915-03,M0,PLN100,
735,1915-03,M0,RUB100,
736,1915-03,M0,SEK100,
737,1915-03,M0,TRY100,
738,1915-03,M0,USD1,5.398
739,1915-03,M0,CAD1,
740,1915-03,M0,ARS100,
741,1915-03,M0,BRL100,
742,1915-03,M0,MXN100,
743,1915-03,M0,ZAR1,
744,1915-03,M0,JPY100,
745,1915-03,M0,AUD1,
746,1915-03,M0,CNY100,
747,1915-03,M0,HKD100,
748,1915-03,M0,KRW100,
749,1915-03,M0,MYR100,
750,1915-03,M0,NZD1,
751,1915-03,M0,SGD100,
752,1915-03,M0,THB100,
753,1915-03,M0,XDR1,
754,1915-03,M1,EUR1,
755,1915-03,M1,GBP1,
756,1915-03,M1,DKK100,
757,1915-03,M1,NOK100,
758,1915-03,M1,CZK100,
759,1915-03,M1,HUF100,
760,1915-03,M1,PLN100,
761,1915-03,M1,RUB100,
762,1915-03,M1,SEK100,
763,1915-03,M1,TRY100,
764,1915-03,M1,USD1,
765,1915-03,M1,CAD1,
766,1915-03,M1,ARS100,
767,1915-03,M1,BRL100,
768,1915-03,M1,MXN100,
769,1915-03,M1,ZAR1,
770,1915-03,M1,JPY100,
771,1915-03,M1,AUD1,
772,1915-03,M1,CNY100,
773,1915-03,M1,HKD100,
774,1915-03,M1,KRW100,
775,1915-03,M1,MYR100,
