Date,year,month,DateNum,Exp_All_N,Exp_All_R,Exp_All_WMF,Exp_Chemistry_N,Exp_Chemistry_R,Exp_Chemistry_WMF,Exp_Clothing_N,Exp_Clothing_R,Exp_Clothing_WMF,Exp_Machines_N,Exp_Machines_R,Exp_Machines_WMF,Exp_Metals_N,Exp_Metals_R,Exp_Metals_WMF,Exp_PrecisionNarr_N,Exp_PrecisionNarr_R,Exp_PrecisionNarr_WMF,Exp_Watches_N,Exp_Watches_R,Exp_Watches_WMF,Imp_All_N,Imp_All_R,Imp_All_WMF,Imp_Chemistry_N,Imp_Chemistry_R,Imp_Chemistry_WMF,Imp_Clothing_N,Imp_Clothing_R,Imp_Clothing_WMF,Imp_Machines_N,Imp_Machines_R,Imp_Machines_WMF,Imp_Precision_N,Imp_Precision_R,Imp_Precision_WMF,Imp_Vehicles_N,Imp_Vehicles_R,Imp_Vehicles_WMF,TradeBal_All_WMF,EUR,USD,gEUR,gUSD
2003-03,2003,3,2003.1666666666667,0.4,2.8,11451.416,8.9,16.5,4060.578,-1.5,-0.7,363.794,-3.7,-4.9,2569.22,3,1.8,869.001,3.5,5.5,828.869,-1.4,-4.7,776.996,1.9,3,11239.168,10.2,0.9,2276.423,-2.3,1.8,770.364,-3.4,4.8,2203.683,-5.7,-4.8,889.714,-2.4,6.7,1268.154,212.248,1.469,1.3592,0.12268266085060375,-0.1762632197414793
2003-04,2003,4,2003.25,-8.2,-4.5,10866.033,-15.3,-7.8,3596.429,-9.5,-7.8,297.297,-4,-0.7,2582.664,-3.1,-3,831.787,10.4,12.4,839.34,-4.1,-11.6,758.327,-11.1,-10.9,10679.222,-17,-26.6,2494.414,-9.6,-5.8,600.409,-9,-2.1,2082.447,-26.5,-24.9,688.288,-13.5,-8.7,1157.834,186.811,1.4954,1.3773,1.797140912185169,1.3316656856974696
2003-05,2003,5,2003.3333333333333,-2.3,0.3,11359.329,-3.3,0.5,3802.155,-4.5,-5.8,308.571,-9.8,-7.5,2459.312,-0.7,-0.3,846.342,4.3,2.2,774.175,-12.8,-20.6,779.095,-6,-3.9,10095.965,2.8,1.1,2213.663,-2.2,-1.8,555.992,-5.7,-1,1989.242,-28.2,-23.8,718.674,-13.6,-7.2,1144.891,1263.364,1.5148,1.3097,1.2973117560518777,-4.9081536339214304
2003-06,2003,6,2003.4166666666667,-4.7,-2.3,11071.548,0.2,5.2,3908.611,6.8,3.5,357.75,-7.5,-4.8,2485.394,-3.1,-4.6,812.73,9.1,8.9,790.07,-9.8,-16.3,810.356,-5.9,-6.7,10173.304,-16.1,-23.8,2123.94,1,-1.4,624.488,-4.9,0.6,2050.304,-17.5,-17.6,778.423,-7.1,-4.2,1085.919,898.244,1.5399,1.3189,1.6569844203855322,0.7024509429640169
2003-07,2003,7,2003.5,-0.8,-1.8,12021.349,0.1,-3.4,3947.582,8.7,4.5,433.768,-2.4,-1,2794.96,0.7,-0.2,888.622,4.1,0.3,821.357,-7.3,-14.1,910.764,1.2,-0.6,11736.396,-2.1,-5.6,2551.003,1.5,-0.4,921.63,-0.2,0.6,2286.428,-10.4,-17.7,832.953,11.3,15.4,1428.377,284.953,1.5471,1.3601,0.46756282875510813,3.123815300629329
2003-08,2003,8,2003.5833333333333,-6.7,-5.7,8818.35,-12.7,-9.2,2976.53,5.2,1,261.999,-2.9,-2.6,2109.41,-2.1,-3.5,625.341,15.7,12.7,659.717,-9.7,-13.8,605.925,-3.5,-5.8,8624.342,-2.7,-9.7,1860.799,-5.6,-6,725.087,-5.6,-2.7,1750.28,-2.5,-8.3,557.305,-9.9,-12.6,727.732,194.008,1.5404,1.3816,-0.4330683213754738,1.5807661201382217
2003-09,2003,9,2003.6666666666667,5.7,6.1,12194.28,4.5,7.1,3893.696,6.7,4.4,391.187,1.9,0.5,2754.124,9,7.1,924.371,9.3,7.9,854.818,8,0.8,947.271,6.4,6.6,10964.26,-4.9,-7.7,2031.994,5.9,6.5,876.754,3.6,9.4,2205.464,17.6,13.4,840.196,21.9,28.8,1222.684,1230.02,1.5469,1.3788,0.42196831991689887,-0.2026635784597497
2003-10,2003,10,2003.75,5.4,3,13236.386,7.6,4.2,4323.886,-2,-6,355.872,-4.9,-7.2,2897.035,4.1,1.2,958.947,8.5,3.8,953.791,0.1,-4,1145.397,2.7,3.1,11876.945,-6.6,-12.1,2255.12,-1.4,1.1,691.819,2.9,5.2,2476.351,-5.2,-4.9,893.339,24.7,35.8,1529.021,1359.441,1.5481,1.3224,0.07757450384640041,-4.090513489991299
2003-11,2003,11,2003.8333333333333,4.3,-0.6,12148.341,9.4,-2.2,3732.355,4.8,2.2,357.251,0.4,-4.1,2821.849,0,-1.5,866.639,5.2,4.5,885.77,-3,-5.8,1130.52,5.3,5.5,11006.259,5.3,0.5,2334.79,1.5,2.4,597.038,-0.6,3.1,2335.345,5.4,4.7,799.151,19.8,30,1238.766,1142.082,1.5587,1.3318,0.6847102900329416,0.7108287961282489
2003-12,2003,12,2003.9166666666667,6.5,3.4,10776.672,8.9,-0.2,3110.942,5.7,4.5,300.495,2.3,0.8,2901.002,7.5,7.8,723.425,12.9,14.9,826.676,-4.2,-3.7,912.273,15.3,15.6,10773.578,17.7,11.7,2131.805,7.6,9.9,586.678,15.3,17.3,2415.594,-1.7,-0.5,752.82,44.9,59.2,1403.885,3.094,1.5549,1.2664,-0.2437929043433651,-4.91064724433099
2004-01,2004,1,2004,5.7,3.6,11092.077,14.1,11.2,4282.665,-1.4,-4,370.562,-3.4,-3.5,2232.643,3.1,0.9,830.214,5.6,-2.5,783.256,-5.7,-9.6,659.762,-7.4,-7.8,10220.813,-22.2,-24.4,2375.261,-7.1,-6.6,779.033,0.6,-0.5,2124.237,-7.1,-6.1,645.327,-14.3,-9.8,827.498,871.264,1.5661,1.2417,0.7203035564988136,-1.950410612760578
