"CubeId";"ausshawarm"
"PublishingDate";"2017-09-21 09:00"

"Date";"D0";"D1";"D2";"Value"
"2001-08";"E";"PUB";"R";"3.1"
"2001-08";"E";"C";"WMF";"2165.162"
"2001-08";"E";"C";"N";"23.6"
"2001-08";"E";"C";"R";"22.6"
"2001-08";"E";"TBS0";"WMF";"839.151"
"2001-08";"E";"TBS0";"N";"-1"
"2001-08";"E";"TBS0";"R";"-3.6"
"2001-08";"E";"F";"WMF";"917.221"
"2001-08";"E";"F";"N";"-17.6"
"2001-08";"E";"F";"R";"-15.5"
"2001-08";"A";"T";"WMF";"9548.009"
"2001-08";"A";"T";"N";"1.2"
"2001-08";"A";"T";"R";"-0.7"
"2001-08";"A";"MAE";"WMF";"2611.256"
"2001-08";"A";"MAE";"N";"-4.9"
"2001-08";"A";"MAE";"R";"-2.4"
"2001-08";"A";"C";"WMF";"3144.688"
"2001-08";"A";"C";"N";"9.8"
"2001-08";"A";"C";"R";"5.1"
"2001-08";"A";"M";"WMF";"713.501"
"2001-08";"A";"M";"N";"-5.1"
"2001-08";"A";"M";"R";"-5.5"
"2001-08";"A";"U";"WMF";"718.905"
"2001-08";"A";"U";"N";"9.5"
"2001-08";"A";"U";"R";"0"
"2001-08";"A";"P";"WMF";"618.557"
"2001-08";"A";"P";"N";"4.5"
"2001-08";"A";"P";"R";"5.3"
"2001-08";"A";"TBS1";"WMF";"257.007"
"2001-08";"A";"TBS1";"N";"6.9"
"2001-08";"A";"TBS1";"R";"3.6"
"2001-08";"H";"T";"WMF";"-315.074"
"2001-09";"E";"T";"WMF";"9975.969"
"2001-09";"E";"T";"N";"-6.2"
"2001-09";"E";"T";"R";"-2.5"
"2001-09";"E";"MAE";"WMF";"2172.839"
"2001-09";"E";"MAE";"N";"-19.7"
"2001-09";"E";"MAE";"R";"-12.4"
"2001-09";"E";"PUB";"WMF";"629.609"
"2001-09";"E";"PUB";"N";"-12.2"
"2001-09";"E";"PUB";"R";"-14.5"
"2001-09";"E";"C";"WMF";"1915.767"
"2001-09";"E";"C";"N";"23.1"
"2001-09";"E";"C";"R";"25.6"
"2001-09";"E";"TBS0";"WMF";"817.498"
