"CubeId";"devkum"
"PublishingDate";"2017-10-02 14:30"

"Date";"D0";"D1";"Value"
"2001-08";"M0";"EUR1";"1.5144"
"2001-08";"M0";"GBP1";"2.4137"
"2001-08";"M0";"DKK100";"20.3355"
"2001-08";"M0";"NOK100";"18.7914"
"2001-08";"M0";"CZK100";"4.4455"
"2001-08";"M0";"HUF100";"0.6077"
"2001-08";"M0";"PLN100";"39.5591"
"2001-08";"M0";"RUB100";"5.7177"
"2001-08";"M0";"SEK100";"16.2623"
"2001-08";"M0";"TRY100";"0.000119"
"2001-08";"M0";"USD1";"1.6799"
"2001-08";"M0";"CAD1";"1.0917"
"2001-08";"M0";"ARS100";"168.0818"
"2001-08";"M0";"BRL100";"66.9455"
"2001-08";"M0";"MXN100";"18.4068"
"2001-08";"M0";"ZAR1";"0.2021"
"2001-08";"M0";"JPY100";"1.384132"
"2001-08";"M0";"AUD1";"0.881773"
"2001-08";"M0";"CNY100";"20.29491304"
"2001-08";"M0";"HKD100";"21.537573"
"2001-08";"M0";"KRW100";"0.1306"
"2001-08";"M0";"MYR100";"44.2041"
"2001-08";"M0";"NZD1";"0.7251"
"2001-08";"M0";"SGD100";"95.4318"
"2001-08";"M0";"THB100";"3.7428"
"2001-08";"M0";"XDR1";"2.1437"
"2001-09";"M0";"EUR1";"1.4919"
"2001-09";"M0";"GBP1";"2.3951"
"2001-09";"M0";"DKK100";"20.0405"
"2001-09";"M0";"NOK100";"18.6525"
"2001-09";"M0";"CZK100";"4.3653"
"2001-09";"M0";"HUF100";"0.5824"
"2001-09";"M0";"PLN100";"38.7905"
"2001-09";"M0";"RUB100";"5.563"
"2001-09";"M0";"SEK100";"15.4205"
"2001-09";"M0";"TRY100";"0.00011"
"2001-09";"M0";"USD1";"1.6386"
"2001-09";"M0";"CAD1";"1.0468"
"2001-09";"M0";"ARS100";"163.917"
"2001-09";"M0";"BRL100";"61.68"
"2001-09";"M0";"MXN100";"17.414"
"2001-09";"M0";"ZAR1";"0.1898"
"2001-09";"M0";"JPY100";"1.37878"
"2001-09";"M0";"AUD1";"0.829125"
"2001-09";"M0";"CNY100";"19.75935"
"2001-09";"M0";"HKD100";"21.006975"
"2001-09";"M0";"KRW100";"0.1265"
"2001-09";"M0";"MYR100";"43.1145"
"2001-09";"M0";"NZD1";"0.6863"
"2001-09";"M0";"SGD100";"93.708"
"2001-09";"M0";"THB100";"3.6946"
"2001-09";"M0";"XDR1";"2.101896"
"2001-10";"M0";"EUR1";"1.4796"
"2001-10";"M0";"GBP1";"2.3698"
"2001-10";"M0";"DKK100";"19.89"
"2001-10";"M0";"NOK100";"18.5004"
"2001-10";"M0";"CZK100";"4.4079"
"2001-10";"M0";"HUF100";"0.5795"
"2001-10";"M0";"PLN100";"39.4748"
"2001-10";"M0";"RUB100";"5.5209"
"2001-10";"M0";"SEK100";"15.4465"
"2001-10";"M0";"TRY100";"0.000101"
"2001-10";"M0";"USD1";"1.6329"
"2001-10";"M0";"CAD1";"1.0397"
"2001-10";"M0";"ARS100";"163.3526"
"2001-10";"M0";"BRL100";"59.6565"
"2001-10";"M0";"MXN100";"17.4496"
"2001-10";"M0";"ZAR1";"0.1761"
"2001-10";"M0";"JPY100";"1.346104"
"2001-10";"M0";"AUD1";"0.823496"
"2001-10";"M0";"CNY100";"19.73921739"
"2001-10";"M0";"HKD100";"20.933791"
"2001-10";"M0";"KRW100";"0.1252"
"2001-10";"M0";"MYR100";"42.9657"
"2001-10";"M0";"NZD1";"0.6761"
"2001-10";"M0";"SGD100";"90.2252"
"2001-10";"M0";"THB100";"3.6493"
"2001-10";"M0";"XDR1";"2.09004"
"2001-11";"M0";"EUR1";"1.4665"
"2001-11";"M0";"GBP1";"2.3717"
"2001-11";"M0";"DKK100";"19.6927"
"2001-11";"M0";"NOK100";"18.5086"
"2001-11";"M0";"CZK100";"4.4024"
"2001-11";"M0";"HUF100";"0.5828"
"2001-11";"M0";"PLN100";"40.325"
"2001-11";"M0";"RUB100";"5.53"
"2001-11";"M0";"SEK100";"15.5759"
"2001-11";"M0";"TRY100";"0.000108"
"2001-11";"M0";"USD1";"1.6509"
"2001-11";"M0";"CAD1";"1.036"
"2001-11";"M0";"ARS100";"165.3236"
"2001-11";"M0";"BRL100";"64.6364"
"2001-11";"M0";"MXN100";"17.8959"
"2001-11";"M0";"ZAR1";"0.1698"
"2001-11";"M0";"JPY100";"1.348473"
"2001-11";"M0";"AUD1";"0.853291"
"2001-11";"M0";"CNY100";"19.94040909"
"2001-11";"M0";"HKD100";"21.165959"
"2001-11";"M0";"KRW100";"0.1287"
"2001-11";"M0";"MYR100";"43.4395"
"2001-11";"M0";"NZD1";"0.6871"
"2001-11";"M0";"SGD100";"90.1886"
"2001-11";"M0";"THB100";"3.7171"
"2001-11";"M0";"XDR1";"2.094319"
"2001-12";"M0";"EUR1";"1.4743"
"2001-12";"M0";"GBP1";"2.3743"
"2001-12";"M0";"DKK100";"19.8017"
"2001-12";"M0";"NOK100";"18.4333"
"2001-12";"M0";"CZK100";"4.5312"
"2001-12";"M0";"HUF100";"0.5947"
"2001-12";"M0";"PLN100";"41.0494"
"2001-12";"M0";"RUB100";"5.4617"
"2001-12";"M0";"SEK100";"15.6161"
"2001-12";"M0";"TRY100";"0.000113"
"2001-12";"M0";"USD1";"1.6498"
"2001-12";"M0";"CAD1";"1.0467"
"2001-12";"M0";"ARS100";"164.8917"
"2001-12";"M0";"BRL100";"69.4889"
"2001-12";"M0";"MXN100";"17.9944"
"2001-12";"M0";"ZAR1";"0.1426"
"2001-12";"M0";"JPY100";"1.298767"
"2001-12";"M0";"AUD1";"0.8489"
"2001-12";"M0";"CNY100";"20.03228571"
"2001-12";"M0";"HKD100";"21.153539"
"2001-12";"M0";"KRW100";"0.1282"
"2001-12";"M0";"MYR100";"43.4094"
"2001-12";"M0";"NZD1";"0.6857"
"2001-12";"M0";"SGD100";"89.8078"
"2001-12";"M0";"THB100";"3.7565"
"2001-12";"M0";"XDR1";"2.088566"
"2002-01";"M0";"EUR1";"1.4738"
"2002-01";"M0";"GBP1";"2.3891"
"2002-01";"M0";"DKK100";"19.8229"
"2002-01";"M0";"NOK100";"18.6057"
"2002-01";"M0";"CZK100";"4.5957"
"2002-01";"M0";"HUF100";"0.6038"
"2002-01";"M0";"PLN100";"41.0262"
"2002-01";"M0";"RUB100";"5.4505"
"2002-01";"M0";"SEK100";"15.9614"
"2002-01";"M0";"TRY100";"0.000122"
"2002-01";"M0";"USD1";"1.6681"
"2002-01";"M0";"CAD1";"1.0426"
"2002-01";"M0";"ARS100";"114.021"
"2002-01";"M0";"BRL100";"70.1381"
"2002-01";"M0";"MXN100";"18.1867"
"2002-01";"M0";"ZAR1";"0.144"
"2002-01";"M0";"JPY100";"1.257895"
"2002-01";"M0";"AUD1";"0.86279"
"2002-01";"M0";"CNY100";"20.17747826"
"2002-01";"M0";"HKD100";"21.389043"
"2002-01";"M0";"KRW100";"0.1267"
"2002-01";"M0";"MYR100";"43.8924"
"2002-01";"M0";"NZD1";"0.7082"
"2002-01";"M0";"SGD100";"90.7233"
"2002-01";"M0";"THB100";"3.789"
"2002-01";"M0";"XDR1";"2.092809"
"2002-02";"M0";"EUR1";"1.4774"
"2002-02";"M0";"GBP1";"2.4155"
"2002-02";"M0";"DKK100";"19.879"
"2002-02";"M0";"NOK100";"18.9665"
"2002-02";"M0";"CZK100";"4.645"
"2002-02";"M0";"HUF100";"0.606"
"2002-02";"M0";"PLN100";"40.5345"
"2002-02";"M0";"RUB100";"5.499"
